Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,excess_readmissions
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,653.0,,1.0233,20.5695,20.101,136.0,07/01/2021,06/30/2024,4.740470000000016
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,164.0,,1.0087,20.9512,20.77,35.0,07/01/2021,06/30/2024,0.9372000000000043
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,174.0,,1.052,19.1045,18.1604,37.0,07/01/2021,06/30/2024,5.400904000000001
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,84.0,,1.0345,16.336,15.7913,16.0,07/01/2021,06/30/2024,2.735308
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,39.0,,1.062,19.6947,18.5446,12.0,07/01/2021,06/30/2024,4.767606
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,63.0,29,1.1213,12.5649,11.2054,11.0,07/01/2021,06/30/2024,3.9405980000000005
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,268.0,29,1.0373,19.906,19.1894,56.0,07/01/2021,06/30/2024,4.572408000000003
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,281.0,29,1.0102,16.1282,15.9654,46.0,07/01/2021,06/30/2024,1.1372259999999983
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,98.0,,1.084,19.6001,18.0817,25.0,07/01/2021,06/30/2024,7.279934000000001
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,142.0,,1.0206,15.253,14.9444,23.0,07/01/2021,06/30/2024,1.7789520000000003
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,216.0,,1.0292,16.7023,16.2284,38.0,07/01/2021,06/30/2024,2.9466559999999973
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,212.0,,1.0053,20.1019,19.9957,43.0,07/01/2021,06/30/2024,0.6091160000000002
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,169.0,,1.0327,17.547,16.991,32.0,07/01/2021,06/30/2024,3.2852099999999993
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,235.0,,1.0061,13.8755,13.7919,33.0,07/01/2021,06/30/2024,0.5890349999999955
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,289.0,,1.0589,22.0595,20.8335,68.0,07/01/2021,06/30/2024,7.791184999999992
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,162.0,,1.049,18.3401,17.4837,33.0,07/01/2021,06/30/2024,4.676406
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,64.0,,1.0436,19.9666,19.1329,16.0,07/01/2021,06/30/2024,3.754944
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,186.0,,1.0084,14.2828,14.1632,27.0,07/01/2021,06/30/2024,0.6564479999999975
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,260.0,,1.0066,15.9827,15.8774,42.0,07/01/2021,06/30/2024,0.7187600000000032
